"DepartmentKey","Address","City","County","DepartmentName","DepartmentSpecialty","DepartmentType","PostalCode","CensusTract"
15,"1979 Milky Way","VERONA","*Unspecified","EHS ROI DEPT","*Unspecified","*Unknown","53593",55025012700
16,"1979 Milky Way","VERONA","*Unspecified","EHS HOME HEALTH DEPT","Home Health Services","*Unknown","53593",55025012700
17,"1979 Milky Way","VERONA","*Unspecified","EHS HH HOSPICE","Hospice Services","*Unknown","53593",55025012700
18,"1979 Milky Way","VERONA","*Unspecified","EHS REFERENCE LAB","*Unspecified","*Unknown","53593",55025012700
19,"1979 Milky Way","VERONA","*Unspecified","EHS PUBLIC HEALTH LAB","*Unspecified","*Unknown","53593",55025012700
20,"1500 SW 10th Ave","Topeka","SHAWNEE","EMERGENCY DEPARTMENT","Emergency Medicine","ED","66604",20177003603
21,"1500 SW 10th Ave","Topeka","SHAWNEE","CVOPC","*Unspecified","*Unknown","66604",20177003603
22,"1500 SW 10th Ave","Topeka","SHAWNEE","CRITICAL CARE-2SOUTH","*Unspecified","ICU","66604",20177003603
23,"1500 SW 10th Ave","Topeka","SHAWNEE","CRITICAL CARE-PAVILION","Critical Care Medicine","ICU","66604",20177003603
24,"1500 SW 10th Ave","Topeka","SHAWNEE","NIC","Neonatology","ICU","66604",20177003603
25,"1500 SW 10th Ave","Topeka","SHAWNEE","JOINT CENTER","*Unspecified","*Unknown","66604",20177003603
26,"1500 SW 10th Ave","Topeka","SHAWNEE","SPINE CENTER","*Unspecified","*Unknown","66604",20177003603
27,"1500 SW 10th Ave","Topeka","SHAWNEE","BIRTHPLACE","Obstetrics","L&D","66604",20177003603
28,"1500 SW 10th Ave","Topeka","SHAWNEE","POST-SURGICAL-4WEST","*Unspecified","*Unknown","66604",20177003603
29,"1500 SW 10th Ave","Topeka","SHAWNEE","NURSERY","*Unspecified","L&D","66604",20177003603
30,"1500 SW 10th Ave","Topeka","SHAWNEE","PEDIATRICS","Pediatrics","HOD","66604",20177003603
31,"1500 SW 10th Ave","Topeka","SHAWNEE","PICU","*Unspecified","ICU","66604",20177003603
32,"1500 SW 10th Ave","Topeka","SHAWNEE","YOUNG ADULT CENTER","*Unspecified","*Unknown","66604",20177003603
33,"1500 SW 10th Ave","Topeka","SHAWNEE","5 NORTH","*Unspecified","*Unknown","66604",20177003603
34,"1500 SW 10th Ave","Topeka","SHAWNEE","6 NORTH","*Unspecified","*Unknown","66604",20177003603
35,"1500 SW 10th Ave 340B00935100SV","Topeka","SHAWNEE","GERIPSYCH-6EAST","*Unspecified","*Unknown","66604",20177003603
36,"1500 SW 10th Ave 340B00935100SV","Topeka","SHAWNEE","GERO-PSYCH-6WEST","*Unspecified","*Unknown","66604",20177003603
37,"1500 SW 10th Ave","Topeka","SHAWNEE","POST-SURGICAL-7 SOUTH","*Unspecified","*Unknown","66604",20177003603
38,"1500 SW 10th Ave","Topeka","SHAWNEE","7 NORTH","*Unspecified","*Unknown","66604",20177003603
39,"1500 SW 10th Ave 340B00935100SV","Topeka","SHAWNEE","OP OBSERV UNIT","*Unspecified","*Unknown","66604",20177003603
40,"1500 SW 10th Ave","Topeka","SHAWNEE","3 PAVILION","*Unspecified","*Unknown","66604",20177003603
41,"1500 SW 10th Ave","Topeka","SHAWNEE","4 PAVILION","Hematology and Oncology","*Unknown","66604",20177003603
42,"3707 SW 6th Ave","Topeka","SHAWNEE","SVW-ADULT","*Unspecified","*Unknown","66606",20177000500
43,"3707 SW 6th Ave","Topeka","SHAWNEE","SVW-CHILD/ADOLESCENT","*Unspecified","*Unknown","66606",20177000500
44,"1500 SW 10th Ave","Topeka","SHAWNEE","ENDOSCOPY","Gastroenterology","HOD","66604",20177003603
45,"823 SW Mulvane Ste 101","Topeka","SHAWNEE","PAIN CLINIC","Pain Medicine","HOD","66606",20177000500
46,"1500 SW 10TH AVE","TOPEKA","SHAWNEE","CENTRAL PHARMACY","Pharmacy","*Unknown","66604",20177003603
47,"1414 SW 8th Ave","TOPEKA","SHAWNEE","CO CANCER PHARMACY","Pharmacy","*Unknown","66606",20177000500
48,"1500 SW 10th Ave","Topeka","SHAWNEE","PRE-POST","*Unspecified","OR","66604",20177003603
49,"1500 SW 10th Ave","Topeka","SHAWNEE","PACU","*Unspecified","OR","66604",20177003603
50,"1500 SW 10th Ave","Topeka","SHAWNEE","BREASTFEEDING CENTER","*Unspecified","HOD","66606",20177000500
51,"929 SW Mulvane","Topeka","SHAWNEE","CARDIAC REHAB HC","Cardiac Rehabilitation","HOD","66606",20177000500
52,"929 SW Mulvane","Topeka","SHAWNEE","SV HEART CENTER CARDIAC ULTRASOUND","Radiology","HOD","66606",20177000500
53,NA,"Topeka","SHAWNEE","CARDIOVASCULAR SERV","*Unspecified","HOD",NA,NA
54,"1500 SW 10th Ave","Topeka","SHAWNEE","CT SCAN","Radiology","HOD","66604",20177003603
55,NA,"Topeka","SHAWNEE","ECT","*Unspecified","HOD",NA,NA
56,NA,"Topeka","SHAWNEE","JUV RHEUM ARTH CLINIC","Rheumatology","*Unknown",NA,NA
57,"1500 SW 10th Ave","TOPEKA","SHAWNEE","LABORATORY","Lab","Normal","66606",20177000500
58,"1500 SW 10th Ave","Topeka","SHAWNEE","MRI","Radiology","HOD","66604",20177003603
59,NA,"Topeka","SHAWNEE","MULTIPLE TESTS","*Unspecified","HOD",NA,NA
60,NA,"Topeka","SHAWNEE","NICU DEV PROG CLINIC","*Unspecified","HOD",NA,NA
61,NA,"Topeka","SHAWNEE","NICU FOLLOW UP CLINIC","Neonatology","*Unknown",NA,NA
62,"929 SW Mulvane St","Topeka","SHAWNEE","SV HEART CENTER NUCLEAR CARDIOLOGY","Radiology","HOD","66606",20177000500
63,"1500 SW 10th Ave","TOPEKA","SHAWNEE","NUCLEAR MEDICINE","Radiology","HOD","66604",20177003603
64,NA,"Topeka","SHAWNEE","OSTOMY","*Unspecified","HOD",NA,NA
65,NA,"Topeka","SHAWNEE","PARKINSONS CLINIC","*Unspecified","HOD",NA,NA
66,"3707 SW 6th Ave","TOPEKA","SHAWNEE","PARTIAL DAY PSYCH","Psychiatry","HOD","66606",20177000500
67,"1500 SW 10th Ave 340B00935100SV","Topeka","SHAWNEE","PHYSICAL MEDICINE","Physical Medicine and Rehabilitation","HOD",NA,NA
68,"1500 SW 10th Ave","TOPEKA","SHAWNEE","PRE-ADMISSION TESTING","Pre-Admission Testing","OR","66604",20177003603
69,"1500 SW 10th Ave","TOPEKA","SHAWNEE","PULMONARY LAB","Pulmonology","HOD","66604",20177003603
70,"1500 SW 10th Ave","Topeka","SHAWNEE","RADIOLOGY","Radiology","HOD","66606",20177000500
71,"1500 SW 10th Ave 340B00935100SV","Topeka","SHAWNEE","SR PARTIAL HOSP PROG","*Unspecified","HOD",NA,NA
72,"920 SW Washburn Ave 340B00935100SV","Topeka","SHAWNEE","SLEEP LAB","*Unspecified","HOD",NA,NA
73,"1615 SW 8th Avenue","Topeka","SHAWNEE","SLEEP CENTER","Sleep Medicine","HOD","66606",20177000500
74,"1500 SW 10th Ave","Topeka","SHAWNEE","ULTRASOUND","Radiology","HOD","66604",20177003603
75,"1500 SW 10th Street","Topeka","SHAWNEE","WOUND CARE CENTER","Wound Care","*Unknown","66604",20177003603
76,"1500 SW 10th Ave","Topeka","SHAWNEE","SURGERY","*Unspecified","OR","66606",20177000500
77,NA,"Topeka","SHAWNEE","OPL CRIT CARE-2 SOUTH","*Unspecified","HOD",NA,NA
78,NA,"Topeka","SHAWNEE","OPL JOINT CENTER-3EAST","*Unspecified","HOD",NA,NA
79,NA,"Topeka","SHAWNEE","OPL 5 EAST (PEDS)","*Unspecified","HOD",NA,NA
80,NA,"Topeka","SHAWNEE","OPL 5 NORTH","*Unspecified","HOD",NA,NA
81,NA,"Topeka","SHAWNEE","OPL 6 NORTH","*Unspecified","HOD",NA,NA
82,NA,"Topeka","SHAWNEE","OPL GERO-PSYCH-6WEST","*Unspecified","HOD",NA,NA
83,NA,"Topeka","SHAWNEE","OPL POST-SURG-7 WEST","*Unspecified","HOD",NA,NA
84,NA,"Topeka","SHAWNEE","OPL 7 NORTH","*Unspecified","HOD",NA,NA
85,NA,"Topeka","SHAWNEE","OPL BIRTHPLACE","*Unspecified","L&D",NA,NA
86,NA,"Topeka","SHAWNEE","OPL CVOPC","*Unspecified","HOD",NA,NA
87,NA,"Topeka","SHAWNEE","OPL PICU","*Unspecified","HOD",NA,NA
88,"2660 SW 3rd Street Suite 002","Topeka","SHAWNEE","SDS","*Unspecified","OR","66606",20177000500
89,"1500 SW 10th Ave","Topeka","SHAWNEE","CATH LAB","Radiology","HOD","66606",20177000500
90,"1500 SW 10th AVE","Topeka","SHAWNEE","EP LAB","Radiology","HOD","66606",20177000500
91,"1500 SW 10th Ave","Topeka","SHAWNEE","INTERVENTIONAL RADIOLOGY","Radiology","HOD","66604",20177003603
92,"1500 SW 10th Ave","Topeka","SHAWNEE","CARDIOVASCULAR ULTRASOUND","Radiology","HOD","66604",20177003603
93,NA,NA,"*Unspecified","CHAPLAIN","*Unspecified","*Unknown",NA,NA
94,NA,NA,"*Unspecified","CLINICAL PERFORMANCE IMPROVEMENT","*Unspecified","*Unknown",NA,NA
95,NA,NA,"*Unspecified","CLINICAL RESEARCH","*Unspecified","*Unknown",NA,NA
96,"1500 SW 10th AVE 340B00935100SV",NA,"*Unspecified","DIABETES MANAGEMENT","*Unspecified","*Unknown",NA,NA
97,"1500 SW 10th Ave","Topeka","*Unspecified","STORMONT-VAIL HOSPITAL","*Unspecified","*Unknown","66604",20177003603
98,"1500 SW 10th Ave","TOPEKA","SHAWNEE","INFECTION CONTROL","*Unspecified","*Unknown","66604",20177003603
99,NA,NA,"*Unspecified","INFORMATION SYSTEMS","*Unspecified","*Unknown",NA,NA
100,"1500 SW 10 Ave",NA,"*Unspecified","IV THERAPY","*Unspecified","HOD",NA,NA
101,NA,NA,"*Unspecified","NUTRITIONAL SERVICES","Nutrition","*Unknown",NA,NA
102,NA,NA,"*Unspecified","PALLIATIVE MEDICINE","*Unspecified","*Unknown",NA,NA
103,NA,NA,"*Unspecified","PFS SCHEDULING","*Unspecified","*Unknown",NA,NA
104,"1500 SW 10th Ave",NA,"*Unspecified","RESPIRATORY SERVICES","Respiratory Therapy","*Unknown",NA,NA
105,NA,NA,"*Unspecified","SOCIAL SERVICES","Case Management","*Unknown",NA,NA
106,NA,NA,"*Unspecified","CASE MANAGEMENT","Case Management","*Unknown",NA,NA
107,"1500 SW 10th Ave","Topeka","SHAWNEE","ACUTE CARE PT","Physical Therapy","HOD","66604",20177003603
108,"1500 SW 10th Ave","Topeka","SHAWNEE","ACUTE CARE OT","Occupational Therapy","HOD","66604",20177003603
109,"1500 SW 10th Ave","Topeka","SHAWNEE","ACUTE CARE SLP","Speech Therapy","HOD","66604",20177003603
110,"1500 SW 10th Ave","Topeka","SHAWNEE","STRESS TEST","*Unspecified","HOD","66604",20177003603
111,"1500 SW 10th Ave","Topeka","SHAWNEE","WOMEN'S CENTER","*Unspecified","HOD","66604",20177003603
112,"1500 SW 10th Ave 340B00935100SV","Topeka","SHAWNEE","INFUSION CENTER SERIES","*Unspecified","HOD","66604",20177003603
113,"1500 SW 10th Ave","Topeka","SHAWNEE","NEUROLOGY","Neurology","HOD","66604",20177003603
114,"1500 SW 10th Ave","Topeka","SHAWNEE","CENTRAL SUPPLY","*Unspecified","*Unknown","66604",20177003603
115,"1500 SW 10th Ave","Topeka","SHAWNEE","PSYCH ASSESSMENT","*Unspecified","HOD","66604",20177003603
116,"909 Mulvane St Lower Level, Infusion Center","Topeka","SHAWNEE","ENTEROSTOMAL THERAPY","*Unspecified","HOD","66604",20177003603
117,NA,"CARBONDALE","OSAGE","CARBONDALE OT","*Unspecified","HOD","66414",20139010100
118,"- 340B00935100SV",NA,"*Unspecified","ST OUTPATIENT CTR","*Unspecified","*Unknown",NA,NA
119,"1500 SW 10th Ave","Topeka","*Unspecified","HEALTH INFO MGM","*Unspecified","*Unknown","66604",20177003603
120,"1500 SW 10th Ave","Topeka","SHAWNEE","PROCEDURE RADIOLOGY","*Unspecified","*Unknown","66604",20177003603
121,"1500 SW 10th Ave","Topeka","SHAWNEE","PERIOP SERVICES","*Unspecified","OR","66604",20177003603
122,"1500 SW 10th Ave","Topeka","SHAWNEE","ANESTHESIA","Anesthesiology","*Unknown","66604",20177003603
123,"1500 SW 10th Ave","Topeka","SHAWNEE","PREREGISTRATION - HSD","Central Scheduling","*Unknown","66604",20177003603
124,"1500 SW 10th Ave","Topeka","SHAWNEE","MAIN REGISTRATION","*Unspecified","*Unknown","66604",20177003603
125,"920 SW Lane St Ste 200","Topeka","SHAWNEE","EXCELLENT PRE-POST","Otolaryngology","OR","66606",20177000500
126,"920 SW Lane St Ste 200","TOPEKA","SHAWNEE","EXCELLENT OR","Otolaryngology","OR","66606",20177000500
127,"1500 SW 10th Ave","Topeka","SHAWNEE","EP HEART CENTER","*Unspecified","*Unknown","66606",20177000500
128,"1500 SW 10th Ave","Topeka","SHAWNEE","MF ULTRASOUND","Radiology","HOD","66606",20177000500
129,"1500 SW 10th Ave","Topeka","SHAWNEE","BIRTHPLACE PROCEDURES","Obstetrics","HOD","66606",20177000500
130,"1500 SW 10th Ave","Topeka","SHAWNEE","PFS BILLING OFFICE","*Unspecified","*Unknown","66606",20177000500
131,"1500 SW 10th Ave","Topeka","SHAWNEE","INTERMEDIATE CARE","*Unspecified","*Unknown","66604",20177003603
132,"1500 SW 10th Ave","Topeka","SHAWNEE","FLEMING OUTPATIENT THERAPY","Physical Therapy","HOD","66604",20177003603
133,"1500 SW 10th Ave","Topeka","SHAWNEE","CKF DEPARTMENT","Emergency Medicine","*Unknown","66604",20177003603
134,"1501 SW 10th Ave","Topeka","SHAWNEE","ANESTHESIA PAIN CLINIC","Pain Medicine","HOD","66604",20177003603
135,"1500 SW 10th Ave 340B00935100SV","Topeka","SHAWNEE","TRAUMA CRITICAL CARE","*Unspecified","ICU","66604",20177003603
136,"1500 SW 10th Ave","TOPEKA","SHAWNEE","SV LAB - BLOOD BANK","*Unspecified","*Unknown",NA,NA
137,NA,NA,"*Unspecified","SV LAB - BLOOD PROCESSING","*Unspecified","*Unknown",NA,NA
138,NA,NA,"*Unspecified","SV LAB - HEMATOLOGY","*Unspecified","*Unknown",NA,NA
139,NA,NA,"*Unspecified","SV LAB - IMMUNOCHEMISTRY","*Unspecified","*Unknown",NA,NA
140,NA,NA,"*Unspecified","SV LAB - MICROBIOLOGY","*Unspecified","*Unknown",NA,NA
141,"1500 SW 10th Ave","TOPEKA","SHAWNEE","SV LABCORP DEPARTMENT","*Unspecified","*Unknown",NA,NA
142,"1500 SW 10th Ave","TOPEKA","SHAWNEE","SV LAB REFERENCE LAB","*Unspecified","*Unknown",NA,NA
143,"1500 SW 10th Ave","TOPEKA","SHAWNEE","SV MAYO DEPT","*Unspecified","*Unknown",NA,NA
144,"1500 SW 10th Ave","TOPEKA","SHAWNEE","SV MAYO SUPERIOR SHELL","*Unspecified","*Unknown",NA,NA
145,"1500 SW 10th Ave","TOPEKA","SHAWNEE","SV MAYO JACKSONVILLE SHELL","*Unspecified","*Unknown",NA,NA
146,"1500 SW 10th Ave","TOPEKA","SHAWNEE","SV MAYO NEW ENGLAND SHELL","*Unspecified","*Unknown",NA,NA
147,"2260 SW 3rd Street Suite 002","Topeka","SHAWNEE","SV SDS X-RAY","Radiology","HOD","66606",20177000500
148,"1414 SW 8th Ave","Topeka","SHAWNEE","CO CANCER CENTER","Oncology","HOD","66606",20177000500
149,"1414 SW 8th","TOPEKA","*Unspecified","CANCER CENTER XRAY","Radiology","*Unknown","66606",20177000500
150,"1414 SW 8th","TOPEKA","*Unspecified","CANCER CENTER LAB","Lab","*Unknown","66606",20177000500
151,"1414 SW 8th Ave","Topeka","SHAWNEE","RADIATION THERAPY","Radiation Therapy","HOD","66606",20177000500
152,"1414 SW 8th Ave","Topeka","SHAWNEE","CANCER CENTER PET/CT","Radiology","HOD","66606",20177000500
153,"1500 SW 10th Ave 340B00935100SV","Topeka","SHAWNEE","CHEMOTHERAPY/INFUSION","*Unspecified","HOD","66604",20177003603
154,"731 SW Mulvane St","Topeka","SHAWNEE","SV IMAGING CENTER","Radiology","HOD","66604",20177003603
155,"901 SW Garfield Ave","Topeka","SHAWNEE","CANCER CENTER","*Unspecified","HOD","66606",20177000500
156,NA,"Topeka","SHAWNEE","MRI CENTER","*Unspecified","HOD",NA,NA
157,"1414 SW 8th Ave","Topeka","*Unspecified","CC HEMATOLOGY ONCOLOGY","Hematology and Oncology","*Unknown","66606",20177000500
158,"920 SW Lane St","Topeka","*Unspecified","EXCELLENT SURGERY","*Unspecified","*Unknown","66606",20177000500
159,"920 SW Lane St 340B00935100SV","Topeka","SHAWNEE","EXCELLENT SURG OP","*Unspecified","*Unknown","66606",20177000500
160,"1414 SW 8th Ave 340B00935100SV","Topeka","*Unspecified","CC CHEMOTHERAPY INFUSION","Hematology and Oncology","*Unknown","66606",20177000500
161,NA,NA,"*Unspecified","CC ONCOLOGY PHARMACY","*Unspecified","*Unknown",NA,NA
162,"1414 SW 8th Ave","Topeka","SHAWNEE","CO CANCER RADIATION","Radiation Oncology","*Unknown","66606-1535",NA
163,"1414 SW 8th Ave","TOPEKA","SHAWNEE","ONC PALLIATIVE MED","Palliative Medicine","*Unknown","66606",20177000500
164,"823 SW Mulvane St  Ste 275","Topeka","SHAWNEE","UROLOGY CLINIC","*Unspecified","HOD","66606",20177000500
165,"1414 SW 8th Ave","Topeka","SHAWNEE","INFUSION CENTER","Infusion Therapy","HOD","66606",20177000500
166,"901 SW Garfield Ave","Topeka","SHAWNEE","TREATMENT ROOM","*Unspecified","HOD","66606",20177000500
167,"211 East Main St","CARBONDALE","OSAGE","ZZCARB OUTPATIENT THERAPY","Physical Therapy","HOD","66414",20139010100
168,"211 East Main St","CARBONDALE","OSAGE","CARBONDALE ORTHOPEDICS","Orthopedic Surgery","*Unknown","66414",20139010100
169,"211 East Main St","CARBONDALE","OSAGE","CARBONDALE ULTRASOUND","Radiology","*Unknown","66414",20139010100
170,"211 East Main St","CARBONDALE","OSAGE","CARBONDALE X-RAY","Radiology","*Unknown","66414",20139010100
171,"211 East Main St","CARBONDALE","OSAGE","CARBONDALE LAB","Lab","*Unknown","66414",20139010100
172,"211 East Main St","CARBONDALE","OSAGE","CARBONDALE CLINIC","Family Medicine","*Unknown","66414",20139010100
173,"211 East Main St","CARBONDALE","OSAGE","CARBONDALE LAB EMP IH","Lab","*Unknown","66414",20139010100
174,"211 East Main St","CARBONDALE","OSAGE","CARBONDALE OUTPATIENT THERAPY","Physical Therapy","*Unknown","66414",20139010100
175,NA,"Topeka","SHAWNEE","CO CLINIC","*Unspecified","*Unknown",NA,NA
176,"901 SW Garfield Ave","Topeka","SHAWNEE","MAIN CAMPUS GENERAL LAB","Lab","*Unknown","66606",20177000500
177,"901 SW Garfield Ave","Topeka","SHAWNEE","MAIN CAMPUS X-RAY","Radiology","*Unknown","66606",20177000500
178,"901 SW Garfield Ave","Topeka","SHAWNEE","MAIN CAMPUS ULTRASOUND","Radiology","*Unknown","66606",20177000500
179,"901 SW Garfield Ave","Topeka","SHAWNEE","MAIN CAMPUS NEUROLAB","Lab","*Unknown","66606",20177000500
180,"901 SW Garfield Ave","Topeka","SHAWNEE","MAIN CAMPUS PULMONARY","Pulmonology","*Unknown","66606",20177000500
181,"1500 SW 10th Ave","Topeka","SHAWNEE","MAIN CAMPUS NUCLEAR MEDICINE","Nuclear Medicine","*Unknown","66604",20177003603
182,"901 SW Garfield Ave","Topeka","SHAWNEE","MAIN CAMPUS RADIOLOGY","Radiology","*Unknown","66606",20177000500
183,"1500 SW 10th Ave","Topeka","SHAWNEE","MAIN CAMPUS HEALTH CONNECT","*Unspecified","*Unknown","66606",20177000500
184,"800 SW Lincoln St","Topeka","SHAWNEE","MAIN CAMPUS LINCOLN CENTER LAB","Lab","*Unknown","66606",20177000500
185,"2800 SW Urish Rd","Topeka","SHAWNEE","MAIN CAMPUS LINCOLN CNTR WEST LAB","Lab","*Unknown","66614",20177003603
186,"901 SW Garfield","Topeka","SHAWNEE","MAIN CAMPUS OP LAB","Lab","*Unknown","66606",20177000500
187,"1500 SW 10th Ave 1st Floor North Tower","Topeka","SHAWNEE","MAIN CAMPUS LAB EMP IH","Lab","*Unknown","66604",20177003603
188,NA,NA,"*Unspecified","SV BLOODBANK DEPT","*Unspecified","*Unknown",NA,NA
189,NA,NA,"*Unspecified","SV MAYO DEPT","*Unspecified","*Unknown",NA,NA
190,"701 Missouri Ave","Alma","WABAUNSEE","ALMA CLINIC","Family Medicine","*Unknown","66419",20087020200
191,"701 Missouri Ave","Alma","WABAUNSEE","ALMA X-RAY","*Unspecified","*Unknown","66419",20087020200
192,"701 Missouri Ave","Alma","WABAUNSEE","ALMA LAB","Lab","*Unknown","66419",20087020200
193,"2909 SE Walnut Dr","Topeka","SHAWNEE","CROCO CLINIC","Internal Medicine","*Unknown","66605",20177003001
194,"2909 SE Walnut Dr","Topeka","SHAWNEE","CROCO XRAY","Radiology","*Unknown","66605",20177003001
195,"2909 SE Walnut Dr","Topeka","SHAWNEE","CROCO EXPRESS CARE","Urgent Care","Normal","66605",20177003001
196,"2909 SE Walnut Dr","Topeka","SHAWNEE","CROCO LAB","Lab","*Unknown","66605-2189",NA
197,"2909 SE Walnut Dr","Topeka","SHAWNEE","CROCO EXPRESS LAB","Lab","*Unknown","66605-2189",NA
198,"2909 SE Walnut Dr","Topeka","SHAWNEE","CROCO LAB EMP IH","Lab","*Unknown","66605-2189",NA
199,"720 SW Lane St","Topeka","SHAWNEE","DHC GASTROENTEROLOGY","Gastroenterology","*Unknown","66606",20177000500
200,"720 SW Lane St","Topeka","SHAWNEE","DHC AMBULATORY SURGICAL CENTER","Gastroenterology","HOD","66606",20177000500
201,"720 SW Lane St","Topeka","SHAWNEE","DHC LAB","Lab","*Unknown","66606",20177000500
202,"720 SW Lane St","Topeka","SHAWNEE","DHC ULTRASOUND","Radiology","*Unknown","66606",20177000500
203,"6650 SW Mission Valley Dr","Topeka","SHAWNEE","MISSION DERMATOLOGY","Dermatology","*Unknown","66614",20177003603
204,"6650 SW Mission Valley Dr","Topeka","SHAWNEE","MISSION DERMATOLOGY LAB","Lab","*Unknown","66614",20177003603
205,"1979 Milky Way","VERONA","*Unspecified","EMH EMERGENCY","Emergency Medicine","ED","53593",55025012700
206,"830 SW Mulvane St","Topeka","SHAWNEE","CARDIOTHORACIC SURGERY","Cardiothoracic Surgery","*Unknown","66606",20177000500
207,"830 SW Mulvane St","Topeka","SHAWNEE","CTS X-RAY","Radiology","*Unknown","66606",20177000500
208,"830 SW Mulvane St","Topeka","SHAWNEE","CTS LAB","Lab","*Unknown","66606",20177000500
209,"1979 Milky Way","VERONA","*Unspecified","EMH LABOR & DELIVERY","Obstetrics and Gynecology","L&D","53593",55025012700
210,"1979 Milky Way","VERONA","*Unspecified","EMH MED SURG","*Unspecified","*Unknown","53593",55025012700
211,"1979 Milky Way","VERONA","*Unspecified","EMH OBSERVATION","*Unspecified","*Unknown","53593",55025012700
212,"1979 Milky Way","VERONA","*Unspecified","EMH HOSPITAL LAB","Lab","HOD","53593",55025012700
213,"1979 Milky Way","VERONA","*Unspecified","EMH GASTROENTEROLOGY","Gastroenterology","HOD","53593",55025012700
214,"1979 Milky Way","VERONA","*Unspecified","EMH ANATOMIC PATHOLOGY","Lab","HOD","53593",55025012700
215,"1979 Milky Way","VERONA","*Unspecified","EMH ADMITTING","*Unspecified","*Unknown","53593",55025012700
216,"1979 Milky Way","VERONA","*Unspecified","EMH IP PHARMACY","Pharmacy","*Unknown","53593",55025012700
217,"1979 Milky Way","VERONA","*Unspecified","EMH PRE-PROCEDURE","*Unspecified","OR","53593",55025012700
218,"1979 Milky Way","VERONA","*Unspecified","EMH MAIN OR","*Unspecified","OR","53593",55025012700
219,"1979 Milky Way","VERONA","*Unspecified","EMH RECOVERY","*Unspecified","OR","53593",55025012700
220,"1979 Milky Way","VERONA","*Unspecified","EMH HEALTH INFO MGMT","*Unspecified","*Unknown","53593",55025012700
221,"1979 Milky Way","VERONA","*Unspecified","EMH PHASE II","*Unspecified","OR","53593",55025012700
222,"1979 Milky Way","VERONA","*Unspecified","EMH PHYSICAL THERAPY","Physical Therapy","HOD","53593",55025012700
223,"1979 Milky Way","VERONA","*Unspecified","EMH PEDIATRICS","Pediatrics","*Unknown","53593",55025012700
224,"1979 Milky Way","VERONA","*Unspecified","EMH ICU","Intensive Care","ICU","53593",55025012700
225,"1979 Milky Way","VERONA","*Unspecified","EMH ANTEPARTUM","Obstetrics","L&D","53593",55025012700
226,"1979 Milky Way","VERONA","*Unspecified","EMH POSTPARTUM","*Unspecified","L&D","53593",55025012700
227,"1979 Milky Way","VERONA","*Unspecified","EMH NURSERY","*Unspecified","*Unknown","53593",55025012700
228,"1979 Milky Way","VERONA","*Unspecified","EMH PSYCHIATRY","Psychiatry","*Unknown","53593",55025012700
229,"1979 Milky Way","VERONA","*Unspecified","EMH NEONATAL ICU","Neonatology","*Unknown","53593",55025012700
230,"1979 Milky Way","VERONA","*Unspecified","EHS URGENT CARE","Urgent Care","ED","53593",55025012700
231,"1979 Milky Way","VERONA","*Unspecified","EMH L&D PROCEDURE","Obstetrics","HOD","53593",55025012700
232,"1979 Milky Way","VERONA","*Unspecified","EMH CARDIAC ICU","Cardiac Intensive Care","ICU","53593",55025012700
233,"1979 Milky Way","VERONA","*Unspecified","EMH GENERAL SURGERY","General Surgery","*Unknown","53593",55025012700
